sample,country,countryspecies,population,latwgs84,lonwgs84,latetrs89,lonetrs89
FR_FS_03_09,FR,FR_FS,FR_FS_03,44.18484,5.23556,2353765.541,3939512.935
FR_FS_03_10,FR,FR_FS,FR_FS_03,44.18459,5.23572,2353737.049,3939524.058
FR_FS_03_11,FR,FR_FS,FR_FS_03,44.18446,5.23542,2353724.186,3939499.207
FR_FS_03_12,FR,FR_FS,FR_FS_03,44.18454,5.23514,2353734.469,3939477.356
FR_FS_03_13,FR,FR_FS,FR_FS_03,44.1845,5.23477,2353731.926,3939447.508
FR_FS_03_14,FR,FR_FS,FR_FS_03,44.18449,5.23428,2353733.316,3939408.267
FR_FS_03_15,FR,FR_FS,FR_FS_03,44.18425,5.23435,2353706.391,3939412.262
FR_FS_03_16,FR,FR_FS,FR_FS_03,44.18402,5.23422,2353681.591,3939400.334
FR_FS_03_17,FR,FR_FS,FR_FS_03,44.184,5.23381,2353681.467,3939367.422
FR_FS_03_18,FR,FR_FS,FR_FS_03,44.18376,5.23406,2353653.623,3939385.807
FR_FS_03_19,FR,FR_FS,FR_FS_03,44.18419,5.23476,2353697.659,3939444.64
FR_FS_03_20,FR,FR_FS,FR_FS_03,44.18429,5.23505,2353707.252,3939468.492
FR_FS_03_21,FR,FR_FS,FR_FS_03,44.18406,5.23547,2353679.65,3939500.536
FR_FS_03_22,FR,FR_FS,FR_FS_03,44.18421,5.23594,2353693.861,3939539.112
FR_FS_03_23,FR,FR_FS,FR_FS_03,44.18451,5.23608,2353726.359,3939552.306
FR_FS_03_24,FR,FR_FS,FR_FS_03,44.18462,5.23637,2353737.059,3939576.224
FR_FS_03_25,FR,FR_FS,FR_FS_03,44.18487,5.23671,2353763.003,3939605.074
FR_FS_04_01,FR,FR_FS,FR_FS_04,44.17861,5.24196,2353043.264,3939983.088
FR_FS_04_02,FR,FR_FS,FR_FS_04,44.17881,5.2422,2353064.183,3940003.61
FR_FS_04_03,FR,FR_FS,FR_FS_04,44.17904,5.24275,2353086.847,3940049.117
FR_FS_04_04,FR,FR_FS,FR_FS_04,44.1792,5.24303,2353103.135,3940072.57
FR_FS_04_05,FR,FR_FS,FR_FS_04,44.17929,5.24355,2353110.453,3940114.747
