sample;country;countryspecies;population;latwgs84;lonwgs84;latetrs89;lonetrs89;Bio01;Bio02;Bio03;Bio04;Bio05;Bio06;Bio07;Bio08;Bio09;Bio10;Bio11;Bio12;Bio13;Bio14;Bio15;Bio16;Bio17;Bio18;Bio19;gmted;pH.top;pH.dee
AT_FS_14_06;AT;AT_FS;AT_FS_14;46.58504;14.26879;2617376.556;4648297.911;9.77508364389953;9.1;29.395020246542;768.113542242828;24.4472368679882;-6.4742255730975;30.9214624410857;19.3472368679881;1.37508364389952;19.3472368679881;-0.557742885469896;1239.5368316536;145.447620133752;45.6018122460475;30.5393036793575;415.947385705594;175.007318783991;415.947385705594;181.893622243737;496.011701531956;5.67242554156802;5.68171736385007
AT_FS_14_07;AT;AT_FS;AT_FS_14;46.58529;14.26842;2617402.652;4648268.041;9.76632364386458;9.1;29.3974823699146;768.049081008944;24.4414768679652;-6.48154557312672;30.9230224410919;19.3414768679652;1.36632364386457;19.3414768679652;-0.561040762120213;1239.98082583112;145.523811640604;45.6001901226779;30.5527436794113;416.139604472732;175.029270290626;416.139604472732;181.912333750359;497.150995368351;5.66608611131078;5.67664195523149
AT_FS_14_08;AT;AT_FS;AT_FS_14;46.58529;14.26785;2617400.14;4648224.393;9.73896364375503;9.1;29.409462850491;767.683036202193;24.4141168678557;-6.50206557320889;30.9161824410646;19.3141168678557;1.33896364375501;19.3141168678557;-0.576420281653311;1242.02395094292;145.756329719421;45.6634496424028;30.5595836794387;416.779039670008;175.289148369553;416.779039670008;182.199571829395;501.408371358967;5.66798147934675;5.67622756667287
AT_FS_14_09;AT;AT_FS;AT_FS_14;46.58506;14.26725;2617371.987;4648179.861;9.70188364360666;9.1;29.4264533400965;767.143531304659;24.3742768676962;-6.5291855733174;30.9034624410136;19.2742768676962;1.30188364360665;19.2742768676962;-0.599269792207274;1245.00208577918;146.071887762534;45.769819153291;30.5585036794343;417.662254778167;175.699746413046;417.662254778167;182.658289873081;507.409646906101;5.67613515630585;5.67914616015367
AT_FS_14_10;AT;AT_FS;AT_FS_14;46.58533;14.26702;2617400.919;4648160.589;9.70056364360137;9.1;29.4261597149127;767.176707556618;24.3761968677039;-6.53098557332461;30.9071824410285;19.2761968677039;1.30056364360136;19.2761968677039;-0.597643417383378;1244.85470815925;146.082542263307;45.7486327783889;30.5709836794842;417.673471030039;175.643680913552;417.673471030039;182.590584373541;507.342728164961;5.6709545902786;5.67639425876711
AT_FS_14_11;AT;AT_FS;AT_FS_14;46.58566;14.26682;2617436.637;4648143.246;9.70284364361034;9.1;29.4242956789684;767.267347916348;24.3824368677287;-6.53026557332183;30.9127024410505;19.2824368677287;1.30284364361033;19.2824368677287;-0.593267453302939;1244.3776532714;146.061678406973;45.713536814186;30.5852636795413;417.594191389095;175.537377056877;417.594191389095;182.466160516793;506.64512995904;5.66537433689284;5.67415252623354
AT_FS_14_12;AT;AT_FS;AT_FS_14;46.58518;14.26586;2617379.172;4648072.684;9.63948364335701;9.1;29.4531637876856;766.333546826596;24.3133168674524;-6.57634557350608;30.8896624409585;19.2133168674524;1.23948364335701;19.2133168674524;-0.633519344861983;1249.55954192546;146.602845974729;45.9035487063435;30.5795036795184;419.114150309153;176.262864625369;419.114150309153;183.278048085631;517.009724570373;5.69174340020833;5.69136966131817
AT_FS_14_13;AT;AT_FS;AT_FS_14;46.58581;14.26578;2617448.691;4648062.686;9.65832364343237;9.1;29.444170265548;766.691322049044;24.339716867558;-6.56410557345712;30.9038224410151;19.239716867558;1.25832364343237;19.239716867558;-0.616112866893978;1247.53878110252;146.436260062469;45.8021422280394;30.603143679613;418.615125528173;175.918678712399;418.615125528173;182.884782172464;513.378200660924;5.67788883405779;5.68479692688732
AT_FS_14_14;AT;AT_FS;AT_FS_14;46.58658;14.26465;2617529.112;4647971.427;9.63180364332605;9.1;29.4569884050645;766.444580653402;24.3224368674886;-6.58630557354609;30.9087424410347;19.2224368674886;1.23180364332605;19.2224368674886;-0.620574727446944;1248.70333878379;146.645267505447;45.7906440885293;30.644423679778;419.142024135636;175.960166154708;419.142024135636;182.915829614732;516.543693700357;5.67907238576391;5.69100983321715
AT_FS_14_15;AT;AT_FS;AT_FS_14;46.58614;14.26403;2617477.584;4647926.653;9.58620364314371;9.1;29.4775094174377;765.760330527755;24.2715568672852;-6.61918557367757;30.8907424409627;19.1715568672852;1.18620364314372;19.1715568672852;-0.650933715277122;1252.53622741808;147.037183457849;45.936443076821;30.6360236797445;420.248414017148;176.508562107736;420.248414017148;183.530945568026;524.12644311611;5.69875751438726;5.70327245801878
